"ID";"LuchthavensHerkomstBestemming";"Perioden";"TotaalAantalPassagiers_1";"PassagiersAangekomenInNederland_2";"PassagiersVertrokkenUitNederland_3"
"21";"T001354";"2019JJ00";"71680013";"35726627";"35953386"
"22";"T001354";"2020JJ00";"20884510";"10494640";"10389870"
"23";"T001354";"2021JJ00";"25490810";"12692297";"12798513"
"24";"T001354";"2022JJ00";"52470880";"26396224";"26074656"
"46";"A043087";"2019JJ00";;;
"47";"A043087";"2020JJ00";;;
"48";"A043087";"2021JJ00";;;
"49";"A043087";"2022JJ00";;;
"71";"A043088";"2019JJ00";;;
"72";"A043088";"2020JJ00";;;
"73";"A043088";"2021JJ00";;;
"74";"A043088";"2022JJ00";;;
"96";"A043089";"2019JJ00";;;
"97";"A043089";"2020JJ00";;;
"98";"A043089";"2021JJ00";;;
"99";"A043089";"2022JJ00";;;
"121";"A043090";"2019JJ00";;;
"122";"A043090";"2020JJ00";;;
"123";"A043090";"2021JJ00";;;
"124";"A043090";"2022JJ00";;;
"146";"A043091";"2019JJ00";;;
"147";"A043091";"2020JJ00";;;
"148";"A043091";"2021JJ00";;;
"149";"A043091";"2022JJ00";;;
"171";"A043092";"2019JJ00";;;
"172";"A043092";"2020JJ00";;;
"173";"A043092";"2021JJ00";;;
"174";"A043092";"2022JJ00";;;
"196";"A043093";"2019JJ00";;;
"197";"A043093";"2020JJ00";;;
"198";"A043093";"2021JJ00";;;
"199";"A043093";"2022JJ00";;;
"221";"A043094";"2019JJ00";;;
"222";"A043094";"2020JJ00";;;
"223";"A043094";"2021JJ00";;;
"224";"A043094";"2022JJ00";;;
"246";"A043095";"2019JJ00";;;
"247";"A043095";"2020JJ00";;;
"248";"A043095";"2021JJ00";;;
"249";"A043095";"2022JJ00";;;
"271";"A043096";"2019JJ00";;;
"272";"A043096";"2020JJ00";;;
"273";"A043096";"2021JJ00";;;
"274";"A043096";"2022JJ00";;;
"296";"A043097";"2019JJ00";;;
"297";"A043097";"2020JJ00";;;
"298";"A043097";"2021JJ00";;;
"299";"A043097";"2022JJ00";;;
"321";"A043098";"2019JJ00";;;
"322";"A043098";"2020JJ00";;;
"323";"A043098";"2021JJ00";;;
"324";"A043098";"2022JJ00";;;
"346";"A043099";"2019JJ00";;;
"347";"A043099";"2020JJ00";;;
"348";"A043099";"2021JJ00";;;
"349";"A043099";"2022JJ00";;;
"371";"A043100";"2019JJ00";"99269";"48784";"50485"
"372";"A043100";"2020JJ00";;;
"373";"A043100";"2021JJ00";"90010";"46652";"43358"
"374";"A043100";"2022JJ00";"91096";"46032";"45064"
"396";"A043101";"2019JJ00";"134888";"66859";"68029"
"397";"A043101";"2020JJ00";;;
"398";"A043101";"2021JJ00";;;
"399";"A043101";"2022JJ00";"120612";"59352";"61260"
"421";"A043102";"2019JJ00";;;
"422";"A043102";"2020JJ00";;;
"423";"A043102";"2021JJ00";;;
"424";"A043102";"2022JJ00";;;
"446";"A043103";"2019JJ00";"77221";"38430";"38791"
"447";"A043103";"2020JJ00";;;
"448";"A043103";"2021JJ00";;;
"449";"A043103";"2022JJ00";;;
"471";"A043104";"2019JJ00";;;
"472";"A043104";"2020JJ00";;;
"473";"A043104";"2021JJ00";;;
"474";"A043104";"2022JJ00";;;
"496";"A043105";"2019JJ00";;;
"497";"A043105";"2020JJ00";;;
"498";"A043105";"2021JJ00";;;
"499";"A043105";"2022JJ00";;;
"521";"A043106";"2019JJ00";;;
"522";"A043106";"2020JJ00";;;
"523";"A043106";"2021JJ00";;;
"524";"A043106";"2022JJ00";;;
"546";"A043107";"2019JJ00";;;
"547";"A043107";"2020JJ00";;;
"548";"A043107";"2021JJ00";;;
"549";"A043107";"2022JJ00";;;
"571";"A043108";"2019JJ00";;;
"572";"A043108";"2020JJ00";;;
"573";"A043108";"2021JJ00";;;
"574";"A043108";"2022JJ00";;;
"596";"A043109";"2019JJ00";;;
"597";"A043109";"2020JJ00";;;
"598";"A043109";"2021JJ00";;;
"599";"A043109";"2022JJ00";;;
"621";"A043110";"2019JJ00";;;
"622";"A043110";"2020JJ00";;;
"623";"A043110";"2021JJ00";;;
"624";"A043110";"2022JJ00";;;
"646";"A043111";"2019JJ00";;;
"647";"A043111";"2020JJ00";;;
"648";"A043111";"2021JJ00";;;
"649";"A043111";"2022JJ00";;;
"671";"A043112";"2019JJ00";;;
"672";"A043112";"2020JJ00";;;
"673";"A043112";"2021JJ00";;;
"674";"A043112";"2022JJ00";;;
"696";"A043113";"2019JJ00";;;
"697";"A043113";"2020JJ00";;;
"698";"A043113";"2021JJ00";;;
"699";"A043113";"2022JJ00";;;
"721";"A043114";"2019JJ00";"250915";"128866";"122049"
"722";"A043114";"2020JJ00";"93307";"46400";"46907"
"723";"A043114";"2021JJ00";"139664";"70114";"69550"
"724";"A043114";"2022JJ00";"233087";"121210";"111877"
"746";"A043115";"2019JJ00";;;
"747";"A043115";"2020JJ00";;;
"748";"A043115";"2021JJ00";;;
"749";"A043115";"2022JJ00";;;
"771";"A043116";"2019JJ00";;;
"772";"A043116";"2020JJ00";;;
"773";"A043116";"2021JJ00";;;
"774";"A043116";"2022JJ00";;;
"796";"A043117";"2019JJ00";;;
"797";"A043117";"2020JJ00";;;
"798";"A043117";"2021JJ00";;;
"799";"A043117";"2022JJ00";;;
"821";"A043118";"2019JJ00";;;
"822";"A043118";"2020JJ00";;;
"823";"A043118";"2021JJ00";;;
"824";"A043118";"2022JJ00";;;
"846";"A043119";"2019JJ00";;;
"847";"A043119";"2020JJ00";;;
"848";"A043119";"2021JJ00";;;
"849";"A043119";"2022JJ00";;;
"871";"A043120";"2019JJ00";;;
"872";"A043120";"2020JJ00";;;
"873";"A043120";"2021JJ00";;;
"874";"A043120";"2022JJ00";;;
"896";"A043121";"2019JJ00";;;
"897";"A043121";"2020JJ00";;;
"898";"A043121";"2021JJ00";;;
"899";"A043121";"2022JJ00";;;
"921";"A043122";"2019JJ00";;;
"922";"A043122";"2020JJ00";;;
"923";"A043122";"2021JJ00";;;
"924";"A043122";"2022JJ00";;;
"946";"A043123";"2019JJ00";;;
"947";"A043123";"2020JJ00";;;
"948";"A043123";"2021JJ00";;;
"949";"A043123";"2022JJ00";;;
"971";"A043124";"2019JJ00";"412671";"206460";"206211"
"972";"A043124";"2020JJ00";"109736";"55786";"53950"
"973";"A043124";"2021JJ00";"136191";"69660";"66531"
"974";"A043124";"2022JJ00";"281827";"141407";"140420"
"996";"A045927";"2019JJ00";;;
"997";"A045927";"2020JJ00";;;
"998";"A045927";"2021JJ00";;;
"999";"A045927";"2022JJ00";;;
"1021";"A043125";"2019JJ00";;;
"1022";"A043125";"2020JJ00";;;
"1023";"A043125";"2021JJ00";;;
"1024";"A043125";"2022JJ00";;;
"1046";"A043126";"2019JJ00";;;
"1047";"A043126";"2020JJ00";;;
"1048";"A043126";"2021JJ00";;;
"1049";"A043126";"2022JJ00";;;
"1071";"A043127";"2019JJ00";;;
"1072";"A043127";"2020JJ00";;;
"1073";"A043127";"2021JJ00";;;
"1074";"A043127";"2022JJ00";;;
"1096";"A043128";"2019JJ00";;;
"1097";"A043128";"2020JJ00";;;
"1098";"A043128";"2021JJ00";;;
"1099";"A043128";"2022JJ00";;;
"1121";"A043129";"2019JJ00";"132720";"63643";"69077"
"1122";"A043129";"2020JJ00";;;
"1123";"A043129";"2021JJ00";;;
"1124";"A043129";"2022JJ00";"83474";"41720";"41754"
"1146";"A043130";"2019JJ00";;;
"1147";"A043130";"2020JJ00";;;
"1148";"A043130";"2021JJ00";;;
"1149";"A043130";"2022JJ00";;;
"1171";"A043131";"2019JJ00";;;
"1172";"A043131";"2020JJ00";;;
"1173";"A043131";"2021JJ00";;;
"1174";"A043131";"2022JJ00";;;
"1196";"A043132";"2019JJ00";;;
"1197";"A043132";"2020JJ00";;;
"1198";"A043132";"2021JJ00";;;
"1199";"A043132";"2022JJ00";;;
"1221";"A043133";"2019JJ00";"136706";"68555";"68151"
"1222";"A043133";"2020JJ00";;;
"1223";"A043133";"2021JJ00";;;
"1224";"A043133";"2022JJ00";"84484";"42259";"42225"
"1246";"A043134";"2019JJ00";;;
"1247";"A043134";"2020JJ00";;;
"1248";"A043134";"2021JJ00";;;
"1249";"A043134";"2022JJ00";;;
"1271";"A043135";"2019JJ00";;;
"1272";"A043135";"2020JJ00";;;
"1273";"A043135";"2021JJ00";;;
"1274";"A043135";"2022JJ00";;;
"1296";"A043136";"2019JJ00";;;
"1297";"A043136";"2020JJ00";;;
"1298";"A043136";"2021JJ00";;;
"1299";"A043136";"2022JJ00";;;
"1321";"A043137";"2019JJ00";;;
"1322";"A043137";"2020JJ00";;;
"1323";"A043137";"2021JJ00";;;
"1324";"A043137";"2022JJ00";;;
"1346";"A043138";"2019JJ00";"75759";"38699";"37060"
