LuchthavensHerkomstBestemming,Land
A043087,Algerije
A043088,Algerije
A043089,Algerije
A043090,Algerije
A043091,Angola
A043092,Burkina Faso
A043093,Centraal-Afrikaanse Rep.
A043094,Congo
A043095,Congo
A043096,Congo
A043097,Djibouti
A043098,Egypte
A043099,Egypte
A043100,Egypte
A043101,Egypte
A043102,Egypte
A043103,Egypte
A043104,Egypte
A043105,Egypte
A043106,Egypte
A043107,Equatoriaal-Guinea
A043108,Equatoriaal-Guinea
A043109,Eritrea
A043110,Ethiopië
A043111,Gabon
A043112,Gabon
A043113,Gambia
A043114,Ghana
A043115,Guinee
A043116,Guinee-Bissau
A043117,Ivoorkust
A043118,Kaapverdië
A043119,Kaapverdië
A043120,Kaapverdië
A043121,Kaapverdië
A043122,Kameroen
A043123,Kenia
A043124,Kenia
A045927,Liberia
A043125,Libië
A043126,Libië
A043127,Marokko
A043128,Marokko
A043129,Marokko
A043130,Marokko
A043131,Marokko
A043132,Marokko
A043133,Marokko
A043134,Marokko
A043135,Marokko
A043136,Marokko
A043137,Marokko
A043138,Marokko
A043139,Marokko
A043140,Mauritanië
A045928,Mauritius
A050104,Namibië
A043141,Namibië
A043142,Niger
A043143,Nigeria
A043144,Nigeria
A043145,Nigeria
A043146,Nigeria
A043147,Nigeria
A043148,Oeganda
A043149,Rwanda
A050105,Réunion
A043150,Sao Tomé en Principe
A043151,Senegal
A043152,Senegal
A045929,Senegal
A050107,Seychellen
A043153,Sierra Leone
A043154,Soedan
A043155,Tanzania
A043156,Tanzania
A043157,Tanzania
A043158,Togo
A043159,Tunesië
A043160,Tunesië
A043161,Tunesië
A043162,Tunesië
A043163,Tunesië
A043164,Tunesië
A043165,Zambia
A043166,Zimbabwe
A043167,Zuid-Afrika
A043168,Zuid-Afrika
A043169,Zuid-Afrika
A043170,Zuid-Afrika
A043171,Argentinië
A043172,Aruba
A043173,Bahama's
A050098,Bahamas
A043174,Barbados
A043175,Brazilië
A043176,Brazilië
A043177,Brazilië
A043178,Brazilië
A043179,Brazilië
A043180,Brazilië
A043181,Brazilië
A043182,Brazilië
A043183,Canada
A043184,Canada
A043185,Canada
A043186,Canada
A043187,Canada
A043188,Canada
A043189,Canada
A043190,Canada
A043192,Canada
A043193,Canada
A043191,Canada
A050404,Canada
A043194,Caribisch Nederland
A050405,Chili
