Luchthavens,Perioden,Overlandbewegingen,Terreinbewegingen,Totaal Vluchten,Geregelde vluchten,Aantal passagiers,Goederenvervoer (ton),Postvervoer(ton)
Totaal luchthavens van nationaal belang,01/01/2022,31964,5212,29604,28750,2831598,131588,827
Totaal luchthavens van nationaal belang,01/02/2022,30459,5779,27456,26599,3040193,126020,824
Totaal luchthavens van nationaal belang,01/03/2022,39107,9705,34568,33635,4241663,137570,819
Totaal luchthavens van nationaal belang,01/04/2022,43239,7408,38824,37560,5140272,126658,688
Totaal luchthavens van nationaal belang,01/05/2022,49637,7906,44823,42987,6091195,128112,685
Totaal luchthavens van nationaal belang,01/06/2022,48847,9017,43248,41393,6118070,125858,667
Totaal luchthavens van nationaal belang,01/07/2022,48364,8659,43218,41260,6211931,130029,584
Totaal luchthavens van nationaal belang,01/08/2022,49173,9175,44862,42970,6378969,125037,549
Totaal luchthavens van nationaal belang,01/09/2022,47989,8324,43523,41847,6108567,130738,538
Totaal luchthavens van nationaal belang,01/10/2022,47117,7661,42909,41366,5854649,135512,465
Totaal luchthavens van nationaal belang,01/11/2022,37876,5771,34597,33820,4570458,128395,461
Totaal luchthavens van nationaal belang,01/12/2022,37591,4447,34968,34327,4680493,120439,608
Totaal luchthavens van nationaal belang,01/01/2023,37038,6455,34322,33553,4480014,109114,478
Totaal luchthavens van nationaal belang,01/02/2023,35573,6982,32416,31673,4348644,113147,440
Totaal luchthavens van nationaal belang,01/03/2023,41983,7044,38044,37109,5276851,125407,457
Totaal luchthavens van nationaal belang,01/04/2023,45722,7939,41609,40550,5912774,116129,430
Totaal luchthavens van nationaal belang,01/05/2023,49828,8198,45469,44214,6514881,118281,471
Totaal luchthavens van nationaal belang,01/06/2023,49260,8501,44638,43355,6539439,112994,447
Totaal luchthavens van nationaal belang,01/07/2023,51665,7131,47556,45884,6991247,115703,407
Totaal luchthavens van nationaal belang,01/08/2023,51960,8675,48111,46471,7061633,112120,454
Amsterdam Airport Schiphol,01/01/2022,27131,476,26231,25905,2488083,122553,827
Amsterdam Airport Schiphol,01/02/2022,25198,333,24129,23743,2660676,118274,824
Amsterdam Airport Schiphol,01/03/2022,31821,455,30382,29909,3732048,128198,819
Amsterdam Airport Schiphol,01/04/2022,35035,494,33421,32752,4434587,116895,688
Amsterdam Airport Schiphol,01/05/2022,40208,478,38419,37364,5217035,119478,685
Amsterdam Airport Schiphol,01/06/2022,39103,475,36919,35915,5232630,116274,667
Amsterdam Airport Schiphol,01/07/2022,38012,531,36000,35066,5179725,120131,584
Amsterdam Airport Schiphol,01/08/2022,39284,535,37730,36811,5327361,116876,549
Amsterdam Airport Schiphol,01/09/2022,39029,542,37027,36223,5196931,121508,538
Amsterdam Airport Schiphol,01/10/2022,38087,597,36361,35507,4912421,125358,465
Amsterdam Airport Schiphol,01/11/2022,31672,468,30348,30054,3987405,119074,461
Amsterdam Airport Schiphol,01/12/2022,31884,448,30669,30389,4101978,113118,608
Amsterdam Airport Schiphol,01/01/2023,31055,501,29987,29598,3896388,103981,478
Amsterdam Airport Schiphol,01/02/2023,29446,467,28345,27995,3782228,109035,440
Amsterdam Airport Schiphol,01/03/2023,34653,545,33128,32760,4585101,121746,457
Amsterdam Airport Schiphol,01/04/2023,37777,492,36258,35746,5128555,113459,430
Amsterdam Airport Schiphol,01/05/2023,41298,584,39568,38806,5599870,117999,471
Amsterdam Airport Schiphol,01/06/2023,40723,541,38912,38170,5664120,112994,447
Amsterdam Airport Schiphol,01/07/2023,42541,539,40965,39984,6009315,113536,407
Amsterdam Airport Schiphol,01/08/2023,42932,525,41584,40570,6052884,110126,454
Rotterdam The Hague Airport,01/01/2022,1437,1358,734,495,58903,0,0
Rotterdam The Hague Airport,01/02/2022,1514,1558,699,504,63510,0,0
Rotterdam The Hague Airport,01/03/2022,2461,2962,989,781,101163,0,0
Rotterdam The Hague Airport,01/04/2022,2733,2558,1437,1134,139308,0,0
Rotterdam The Hague Airport,01/05/2022,3412,2744,1974,1579,224714,0,0
Rotterdam The Hague Airport,01/06/2022,3368,2482,1858,1460,224069,0,0
Rotterdam The Hague Airport,01/07/2022,3884,2550,2465,1815,312468,0,0
Rotterdam The Hague Airport,01/08/2022,3628,3064,2353,1747,305371,0,0
Rotterdam The Hague Airport,01/09/2022,3191,2358,1927,1487,226890,0,0
Rotterdam The Hague Airport,01/10/2022,3105,2048,1914,1574,232223,0,0
Rotterdam The Hague Airport,01/11/2022,1930,1851,1037,847,116089,0,0
Rotterdam The Hague Airport,01/12/2022,1636,1488,996,872,108634,0,0
Rotterdam The Hague Airport,01/01/2023,1840,1790,1052,917,113614,0,0
Rotterdam The Hague Airport,01/02/2023,2059,1868,1108,964,123054,0,0
Rotterdam The Hague Airport,01/03/2023,2516,1907,1455,1212,168396,0,0
Rotterdam The Hague Airport,01/04/2023,2712,2371,1469,1205,165235,0,0
Rotterdam The Hague Airport,01/05/2023,3335,2603,1851,1619,234535,0,0
Rotterdam The Hague Airport,01/06/2023,3465,2476,1826,1526,223911,0,0
Rotterdam The Hague Airport,01/07/2023,3313,2115,2025,1721,260281,0,0
Rotterdam The Hague Airport,01/08/2023,3225,2522,1962,1714,260788,0,0
Eindhoven Airport,01/01/2022,2220,0,2133,2060,275066,0,0
Eindhoven Airport,01/02/2022,2238,0,2151,2064,309283,0,0
Eindhoven Airport,01/03/2022,2806,0,2700,2595,401775,0,0
Eindhoven Airport,01/04/2022,3504,0,3390,3281,545981,0,0
Eindhoven Airport,01/05/2022,3901,0,3768,3645,618681,0,0
Eindhoven Airport,01/06/2022,3858,0,3724,3622,631243,0,0
Eindhoven Airport,01/07/2022,4049,0,3909,3799,662646,0,0
Eindhoven Airport,01/08/2022,4067,0,3948,3842,678848,0,0
Eindhoven Airport,01/09/2022,3926,0,3800,3658,636581,0,0
Eindhoven Airport,01/10/2022,4043,0,3935,3799,669753,0,0
Eindhoven Airport,01/11/2022,2740,0,2683,2625,448417,0,0
Eindhoven Airport,01/12/2022,2904,0,2838,2778,452325,0,0
Eindhoven Airport,01/01/2023,2919,0,2843,2761,452713,0,0
Eindhoven Airport,01/02/2023,2637,0,2565,2486,425978,0,0
Eindhoven Airport,01/03/2023,3072,0,2970,2903,503693,0,0
Eindhoven Airport,01/04/2023,3572,0,3495,3395,597756,0,0
Eindhoven Airport,01/05/2023,3964,0,3864,3751,664708,0,0
Eindhoven Airport,01/06/2023,3878,0,3774,3659,640577,0,0
Eindhoven Airport,01/07/2023,4007,0,3915,3798,671051,0,0
Eindhoven Airport,01/08/2023,4003,0,3929,3810,680983,0,0
